Brand,Jan_Sale,Feb_Sale,March_Sale
3,68028819,62882541,62882541
1,638060326,594320756,594320756
8,285199168,264199744,264199744
5,315591454,293330904,293330904
6,106749736,101328155,101328155
2,88358912,84286224,84286224
14,6794871,6265269,6265269
4,9295289,8449291,8449291
11,37937339,35953095,35953095
13,1347608,1262438,1262438
15,31318290,28298283,28298283
12,1797004,1645908,1645908
16,49300581,44307957,44307957
10,33561078,32129583,32129583
7,20059143,19128387,19128387
17,1864470,1768440,1768440
18,3100435,2948728,2948728
9,2071106,2108136,2108136
20,320169,297649,297649
19,20213,18525,18525